k,avg_runtime,avg_memory,avg_iterations,mse_mean,mse_std
2,1.410665512084961,228.1671875,0.0,0.03206917602224996,0.0
5,3.750527358055115,313.240625,0.0,0.009684930567418338,0.00021522063300170294
10,7.085705947875977,305.08125,0.0,0.004908532860871736,4.946420369327658e-05
20,14.671581864356995,519.284375,0.0,0.002663132134225983,3.7977409840205046e-05
50,36.5483745098114,903.6015625,0.0,0.0012957394919353893,9.806017615838734e-06
